run_id,experiment_id,status,artifact_uri,start_time,end_time,metrics.gross_sales_median,metrics.net_quantity_median,metrics.total_net_sales_median,metrics.discounts_mean,metrics.discounts_median,metrics.returns_mean,metrics.returns_median,metrics.returns_std_dev,metrics.total_net_sales_std_dev,metrics.gross_sales_mean,metrics.total_net_sales_mean,metrics.gross_sales_std_dev,metrics.net_quantity_std_dev,metrics.discounts_std_dev,metrics.net_quantity_mean,tags.mlflow.source.type,tags.mlflow.source.name,tags.changed_at,tags.mlflow.runName,tags.mlflow.user,tags.operation
8aaf10dcd85d4f7a82ab07a9f018de23,746541849908770046,RUNNING,file:///C:/Users/user/Desktop/autolog/mlruns/746541849908770046/8aaf10dcd85d4f7a82ab07a9f018de23/artifacts,2023-07-30 12:12:00.948000+00:00,,2000.0,1230.0,3335.4,212634.37391304347,400.0,246026.91304347827,440.0,560577.1248398558,2333126.4899649485,190610079090.73914,690230.3304347825,503213909231.424,250279.34364416206,470808.6199403874,63174.95652173913,LOCAL,changes_log.py,2023-07-30 16:11:48.476076,2023-07-30 16:11:48,user,INSERT
b984fe83366540efa51b3edb0c9711da,746541849908770046,FINISHED,file:///C:/Users/user/Desktop/autolog/mlruns/746541849908770046/b984fe83366540efa51b3edb0c9711da/artifacts,2023-07-30 12:10:27.366000+00:00,2023-07-30 12:10:30.906000+00:00,2872.0,1237.5,3381.3,222299.52727272725,700.0,257209.9090909091,720.0,571137.0291319812,2383059.96741813,199274173594.81818,721604.3909090909,513296979840.36865,255780.98343844505,479546.83765255485,66046.5,LOCAL,changes_log.py,2023-07-30 16:03:25.601093,2023-07-30 16:03:25,user,INSERT
cecd5d7f494448638b9902c2b5763f9d,746541849908770046,FINISHED,file:///C:/Users/user/Desktop/autolog/mlruns/746541849908770046/cecd5d7f494448638b9902c2b5763f9d/artifacts,2023-07-30 12:10:23.375000+00:00,2023-07-30 12:10:27.335000+00:00,2872.0,1237.5,3381.3,222299.52727272725,700.0,257209.9090909091,720.0,571137.0291319812,2383059.96741813,199274173594.81818,721604.3909090909,513296979840.36865,255780.98343844505,479546.83765255485,66046.5,LOCAL,changes_log.py,2023-07-30 16:02:37.967287,2023-07-30 16:02:37,user,INSERT
efd58d4706904bc2af4ba4dc4ef5b5a8,746541849908770046,FINISHED,file:///C:/Users/user/Desktop/autolog/mlruns/746541849908770046/efd58d4706904bc2af4ba4dc4ef5b5a8/artifacts,2023-07-30 12:10:19.166000+00:00,2023-07-30 12:10:23.351000+00:00,2872.0,1237.5,3381.3,222299.52727272725,700.0,257209.9090909091,720.0,571137.0291319812,2383059.96741813,199274173594.81818,721604.3909090909,513296979840.36865,255780.98343844505,479546.83765255485,66046.5,LOCAL,changes_log.py,2023-07-30 15:41:13.390695,2023-07-30 15:41:13,user,INSERT
197aa2dbb4ab4ae391f6bcd8d1c627af,746541849908770046,FINISHED,file:///C:/Users/user/Desktop/autolog/mlruns/746541849908770046/197aa2dbb4ab4ae391f6bcd8d1c627af/artifacts,2023-07-30 12:10:15.436000+00:00,2023-07-30 12:10:19.150000+00:00,2872.0,1237.5,3381.3,222299.52727272725,700.0,257209.9090909091,720.0,571137.0291319812,2383059.96741813,199274173594.81818,721604.3909090909,513296979840.36865,255780.98343844505,479546.83765255485,66046.5,LOCAL,changes_log.py,2023-07-30 15:18:23.265493,2023-07-30 15:18:23,user,INSERT
a09c1f2d006a4e34af556e54278acee0,746541849908770046,FINISHED,file:///C:/Users/user/Desktop/autolog/mlruns/746541849908770046/a09c1f2d006a4e34af556e54278acee0/artifacts,2023-07-30 12:10:11.960000+00:00,2023-07-30 12:10:15.420000+00:00,2872.0,1237.5,3381.3,222299.52727272725,700.0,257209.9090909091,720.0,571137.0291319812,2383059.96741813,199274173594.81818,721604.3909090909,513296979840.36865,255780.98343844505,479546.83765255485,66046.5,LOCAL,changes_log.py,2023-07-28 16:24:30.611890,2023-07-28 16:24:30,user,INSERT
21290b1c598244a086e25a822dbb9b6d,746541849908770046,FINISHED,file:///C:/Users/user/Desktop/autolog/mlruns/746541849908770046/21290b1c598244a086e25a822dbb9b6d/artifacts,2023-07-30 12:10:07.964000+00:00,2023-07-30 12:10:11.944000+00:00,2872.0,1237.5,3381.3,222299.52727272725,700.0,257209.9090909091,720.0,571137.0291319812,2383059.96741813,199274173594.81818,721604.3909090909,513296979840.36865,255780.98343844505,479546.83765255485,66046.5,LOCAL,changes_log.py,2023-07-28 16:09:18.608285,2023-07-28 16:09:18,user,INSERT
1c86bf1901504ae7b517374f4300b0d0,746541849908770046,FINISHED,file:///C:/Users/user/Desktop/autolog/mlruns/746541849908770046/1c86bf1901504ae7b517374f4300b0d0/artifacts,2023-07-30 12:10:04.338000+00:00,2023-07-30 12:10:07.932000+00:00,2872.0,1237.5,3381.3,222299.52727272725,700.0,257209.9090909091,720.0,571137.0291319812,2383059.96741813,199274173594.81818,721604.3909090909,513296979840.36865,255780.98343844505,479546.83765255485,66046.5,LOCAL,changes_log.py,2023-07-28 15:13:53.513657,2023-07-28 15:13:53,user,INSERT
958ad6d3d6ae47f7968567b0008313ad,746541849908770046,FINISHED,file:///C:/Users/user/Desktop/autolog/mlruns/746541849908770046/958ad6d3d6ae47f7968567b0008313ad/artifacts,2023-07-30 12:10:00.229000+00:00,2023-07-30 12:10:04.313000+00:00,2872.0,1237.5,3381.3,222299.52727272725,700.0,257209.9090909091,720.0,571137.0291319812,2383059.96741813,199274173594.81818,721604.3909090909,513296979840.36865,255780.98343844505,479546.83765255485,66046.5,LOCAL,changes_log.py,2023-07-21 11:40:45.024228,2023-07-21 11:40:45,user,INSERT
7299b53a8abe4eb89c6a9473ffc97560,746541849908770046,FINISHED,file:///C:/Users/user/Desktop/autolog/mlruns/746541849908770046/7299b53a8abe4eb89c6a9473ffc97560/artifacts,2023-07-30 12:09:56.512000+00:00,2023-07-30 12:10:00.193000+00:00,2872.0,1237.5,3381.3,222299.52727272725,700.0,257209.9090909091,720.0,571137.0291319812,2383059.96741813,199274173594.81818,721604.3909090909,513296979840.36865,255780.98343844505,479546.83765255485,66046.5,LOCAL,changes_log.py,2023-07-21 11:09:28.403702,2023-07-21 11:09:28,user,INSERT
423776f77674487b92c4b197a088779f,746541849908770046,FINISHED,file:///C:/Users/user/Desktop/autolog/mlruns/746541849908770046/423776f77674487b92c4b197a088779f/artifacts,2023-07-30 12:09:53.015000+00:00,2023-07-30 12:09:56.481000+00:00,2872.0,1237.5,3381.3,222299.52727272725,700.0,257209.9090909091,720.0,571137.0291319812,2383059.96741813,199274173594.81818,721604.3909090909,513296979840.36865,255780.98343844505,479546.83765255485,66046.5,LOCAL,changes_log.py,2023-07-21 11:06:37.356444,2023-07-21 11:06:37,user,INSERT
cc7d4bc47260452588aa71b47faf2ffa,746541849908770046,FINISHED,file:///C:/Users/user/Desktop/autolog/mlruns/746541849908770046/cc7d4bc47260452588aa71b47faf2ffa/artifacts,2023-07-30 12:09:48.911000+00:00,2023-07-30 12:09:53+00:00,2872.0,1237.5,3381.3,222299.52727272725,700.0,257209.9090909091,720.0,571137.0291319812,2383059.96741813,199274173594.81818,721604.3909090909,513296979840.36865,255780.98343844505,479546.83765255485,66046.5,LOCAL,changes_log.py,2023-07-21 10:35:48.999015,2023-07-21 10:35:48,user,INSERT
791a62889e314e2aac17beb62996795d,746541849908770046,FINISHED,file:///C:/Users/user/Desktop/autolog/mlruns/746541849908770046/791a62889e314e2aac17beb62996795d/artifacts,2023-07-30 12:09:44.769000+00:00,2023-07-30 12:09:48.879000+00:00,2872.0,1237.5,3381.3,222299.52727272725,700.0,257209.9090909091,720.0,571137.0291319812,2383059.96741813,199274173594.81818,721604.3909090909,513296979840.36865,255780.98343844505,479546.83765255485,66046.5,LOCAL,changes_log.py,2023-07-21 10:29:17.247918,2023-07-21 10:29:17,user,INSERT
